Abruzzo	42.1920119	13.7289167	
Basilicata	40.6430766	15.9699878	
Calabria	39.3087714	16.3463791	
Campania	41.1099473	14.8475139	
Emilia-Romagna	44.5967607	11.2186396	
Friuli-Venezia Giulia	46.2259177	13.1033646	
Lazio	41.6552418	12.989615	
Liguria	44.3167917	8.3964938	
Lombardia	45.4790671	9.8452433	
Marche	43.5058744	12.989615	
Molise	41.6308147	14.4936511		
Piemonte	45.0522366	7.5153885	
Puglia	40.7928393	17.1011931	
Sardegna	40.1208752	9.0128926	
Sicilia	37.5999938	14.0153557	
Toscana	43.7710513	11.2486208	
Trentino-Alto Adige	46.7340955	11.2888015	
Umbria	42.938004	12.6216211
Valle d'Aosta	45.7388878	7.4261866	
Veneto	45.7623333	11.690976	
